"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Edad","Sexo","Estado.civil","Clase.de.empleado","Profesión","Escolaridad","Delito.Captura","Código.DANE","Cantidad"
"84319","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","tarde","VDA. MORELIA","RURAL","VIAS PUBLICAS","34","FEMENINO","UNION LIBRE","AMA DE CASA","-","-",66001000,"ARTÍCULO 103. HOMICIDIO",1
"84320","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","noche","VDA. LA FLORIDA","RURAL","VIAS PUBLICAS","17","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"84321","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","mañana","SECTOR PLAZA DE BOLIVAR","URBANA","VIAS PUBLICAS","33","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"84322","01/02/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","noche","AEROPUERTO MATECAÑA","URBANA","AEROPUERTO","20","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"84323","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","tarde","RESTREPO","URBANA","VIAS PUBLICAS","38","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84324","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","noche","BUENOS AIRES","URBANA","TIENDA","21","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84325","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","noche","SECTOR PUENTES DE LA 9A CON 12","URBANA","VIAS PUBLICAS","50","MASCULINO","CASADO","INDEPENDIENTE","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"84326","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","mañana","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","32","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 342. CONCIERTO PARA DELINQUIR (CIRCUNSTANCIAS DE AGRAVACIÓN)",1
"84327","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","mañana","SECTOR CARDER","URBANA","ALMACENES","22","MASCULINO","SOLTERO","ESTUDIANTE","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84328","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","tarde","CENTRO (A) PEREIRA","URBANA","VIAS PUBLICAS","27","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES",1
"84329","01/04/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","noche","SECTOR PARQUE EL LAGO","URBANA","VIAS PUBLICAS","45","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84330","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","mañana","AMERICA","URBANA","VIAS PUBLICAS","19","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 239. HURTO MOTOCICLETAS",1
"84331","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","tarde","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","21","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"84332","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","mañana","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","47","FEMENINO","SOLTERO","AMA DE CASA","-","-",66001000,"ARTÍCULO 447. RECEPTACIÓN",1
"84333","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","mañana","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","37","MASCULINO","CASADO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES FINANCIERAS",1
"84334","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","noche","JARDIN I","URBANA","ALMACENES","26","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84335","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","tarde","LA PAZ CENTRO","URBANA","ALMACENES","50","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84336","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","tarde","LA PAZ CENTRO","URBANA","ALMACENES","55","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84337","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","tarde","AEROPUERTO MATECAÑA","URBANA","AEROPUERTO","24","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84338","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","tarde","SANTA TERESITA","URBANA","VIAS PUBLICAS","32","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84339","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","tarde","SANTA TERESITA","URBANA","VIAS PUBLICAS","32","FEMENINO","UNION LIBRE","AMA DE CASA","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84340","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","mañana","SECTOR PARQUE EL LAGO","URBANA","VIAS PUBLICAS","23","MASCULINO","CASADO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84341","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","mañana","SECTOR PUENTES DE LA 9A CON 12","URBANA","VIAS PUBLICAS","28","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84342","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","mañana","P.INDUSTRIAL A","URBANA","VIAS PUBLICAS","37","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 291. USO DE DOCUMENTO FALSO",1
"84343","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","mañana","VDA. COMBIA","URBANA","PERIMETRO URBANO","41","MASCULINO","CASADO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 120. LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO )",1
"84344","01/07/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","tarde","CENTRO (A) PEREIRA","URBANA","VIAS PUBLICAS","27","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"84345","01/07/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","mañana","COMBIA (NO UTILIZAR)","URBANA","CARCELES","47","FEMENINO","SOLTERO","AMA DE CASA","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84346","01/07/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","tarde","EL PIZAMO","URBANA","VIAS PUBLICAS","16","MASCULINO","SOLTERO","ESTUDIANTE","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84347","01/07/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","tarde","CENTRO (A) PEREIRA","URBANA","ALMACENES","20","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84348","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","tarde","ATENAS","URBANA","VIAS PUBLICAS","37","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR",1
"84349","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","mañana","VARIANTE CONDINA V.5","RURAL","CARRETERA","25","MASCULINO","SOLTERO","INDEPENDIENTE","-","-",66001000,"ARTÍCULO 454. FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA",1
"84350","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","tarde","CIUDADELA SALAMANCA V.I.P","RURAL","VIAS PUBLICAS","21","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR",1
"84351","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","tarde","CENTRO (A) PEREIRA","URBANA","VIAS PUBLICAS","34","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84352","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","noche","LA PAZ CENTRO","URBANA","VIAS PUBLICAS","23","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"84353","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","tarde","EL REMANSO","URBANA","INTERIOR VEHICULO SERVICIO PUBLICO","19","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"84354","01/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","mañana","JARDIN DE VELEZ Y VELEZ","URBANA","VIAS PUBLICAS","37","MASCULINO","SOLTERO","AGRICULTOR","-","-",66001000,"ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR",1
"84355","01/09/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","tarde","PEAJE CERRITOS","RURAL","CARRETERA","46","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 454. FRAUDE A RESOLUCIÓN JUDICIAL O ADMINISTRATIVA DE POLICÍA",1
"84356","01/09/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","tarde","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","47","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 289. FALSEDAD EN DOCUMENTO PRIVADO",1
"84357","01/09/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","noche","MONSERRATE","URBANA","VIAS PUBLICAS","28","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84358","01/10/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","tarde","BRISAS DEL OTUN","URBANA","CASAS DE HABITACION","29","FEMENINO","SOLTERO","AMA DE CASA","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84359","01/10/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","tarde","LAS BRISAS  (V/SANTANA)","URBANA","CASAS DE HABITACION","31","FEMENINO","UNION LIBRE","AMA DE CASA","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"84360","01/10/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","tarde","LA PAZ CENTRO","URBANA","ALMACENES","29","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84361","01/10/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","noche","SECTOR PLAZA DE BOLIVAR","URBANA","ALMACENES","42","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"84362","01/11/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","tarde","CAIMALITO","URBANA","VIAS PUBLICAS","17","MASCULINO","SOLTERO","ESTUDIANTE","-","-",66001000,"ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES",1
"84363","01/11/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","mañana","CENTRO (A) PEREIRA","URBANA","LOTE BALDIO","52","MASCULINO","DIVORCIADO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR",1
"84364","01/11/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","tarde","BOSTON","URBANA","TERMINAL DE TRANSPORTES","44","MASCULINO","UNION LIBRE","COMERCIANTE","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
