"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Edad","Sexo","Estado.civil","Clase.de.empleado","Profesión","Escolaridad","Delito.Captura","Código.DANE","Cantidad"
"1","01/01/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Lunes","12/31/1899 08:50:00 AM","EL BALSO","URBANA","VIAS PUBLICAS","31","MASCULINO","SOLTERO","INDEPENDIENTE","-","-",66170000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"2","01/01/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Lunes","12/31/1899 08:15:00 PM","EL BALSO","URBANA","VIAS PUBLICAS","15","MASCULINO","SOLTERO","INDEPENDIENTE","-","-",66170000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"3","01/03/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Miércoles","12/31/1899 10:30:00 PM","EL BALSO","URBANA","VIAS PUBLICAS","29","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66170000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"4","01/03/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Miércoles","12/31/1899 04:20:00 PM","LA ROMELIA","RURAL","CARRETERA","33","MASCULINO","CASADO","EMPLEADO PARTICULAR","-","-",66170000,"ARTÍCULO 291. USO DE DOCUMENTO FALSO",1
"5","01/04/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Jueves","12/31/1899 06:15:00 PM","NUEVO BOSQUE","URBANA","VIAS PUBLICAS","33","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66170000,"ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES",1
"6","01/05/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Viernes","12/31/1899 10:00:00 AM","EL PROGRESO","URBANA","VIAS PUBLICAS","61","MASCULINO","SOLTERO","COMERCIANTE","-","-",66170000,"ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS",1
"7","01/06/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Sábado","12/31/1899 08:20:00 PM","LA GRACIELA","URBANA","VIAS PUBLICAS","25","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66170000,"ARTÍCULO 291. USO DE DOCUMENTO FALSO",1
"8","01/06/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Sábado","12/31/1899 02:40:00 AM","PATIÑO AMARILES","URBANA","CASAS DE HABITACION","18","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66170000,"ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR",1
"9","01/07/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Domingo","12/31/1899 08:35:00 PM","DIANA TURBAY","URBANA","VIAS PUBLICAS","28","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66170000,"ARTÍCULO 265. DAÑO EN BIEN AJENO",1
"10","01/07/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Domingo","12/31/1899 11:27:00 PM","SANTA TERESITA","RURAL","VIAS PUBLICAS","21","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66170000,"ARTÍCULO 239. HURTO PERSONAS",1
