"","Fecha","Departamento","Municipio","Día","Hora","Barrio","Zona","Clase.de.sitio","Edad","Sexo","Estado.civil","Clase.de.empleado","Profesión","Escolaridad","Delito.Captura","Código.DANE","Cantidad"
"1","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","12/31/1899 02:30:00 PM","VDA. MORELIA","RURAL","VIAS PUBLICAS","34","FEMENINO","UNION LIBRE","AMA DE CASA","-","-",66001000,"ARTÍCULO 103. HOMICIDIO",1
"2","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","12/31/1899 01:00:00 AM","VDA. LA FLORIDA","RURAL","VIAS PUBLICAS","17","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"3","01/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","12/31/1899 07:28:00 AM","SECTOR PLAZA DE BOLIVAR","URBANA","VIAS PUBLICAS","33","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"4","01/02/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","12/31/1899 12:00:00 AM","AEROPUERTO MATECAÑA","URBANA","AEROPUERTO","20","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"5","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 01:00:00 PM","RESTREPO","URBANA","VIAS PUBLICAS","38","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"6","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 10:30:00 PM","BUENOS AIRES","URBANA","TIENDA","21","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"7","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 12:00:00 AM","SECTOR PUENTES DE LA 9A CON 12","URBANA","VIAS PUBLICAS","50","MASCULINO","CASADO","INDEPENDIENTE","-","-",66001000,"ARTÍCULO 111. LESIONES PERSONALES",1
"8","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 07:15:00 AM","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","32","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 342. CONCIERTO PARA DELINQUIR (CIRCUNSTANCIAS DE AGRAVACIÓN)",1
"9","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 11:12:00 AM","SECTOR CARDER","URBANA","ALMACENES","22","MASCULINO","SOLTERO","ESTUDIANTE","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"10","01/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","12/31/1899 05:13:00 PM","CENTRO (A) PEREIRA","URBANA","VIAS PUBLICAS","27","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 365. FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO,ACCESORIOS, PARTES O MUNICIONES",1
"11","01/04/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","12/31/1899 02:00:00 AM","SECTOR PARQUE EL LAGO","URBANA","VIAS PUBLICAS","45","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"12","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 10:50:00 AM","AMERICA","URBANA","VIAS PUBLICAS","19","MASCULINO","SOLTERO","DESEMPLEADO","-","-",66001000,"ARTÍCULO 239. HURTO MOTOCICLETAS",1
"13","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 04:45:00 PM","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","21","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO",1
"14","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 09:40:00 AM","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","47","FEMENINO","SOLTERO","AMA DE CASA","-","-",66001000,"ARTÍCULO 447. RECEPTACIÓN",1
"15","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 08:40:00 AM","TERMINAL DE TRANSPORTES","URBANA","TERMINAL DE TRANSPORTES","37","MASCULINO","CASADO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES FINANCIERAS",1
"16","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 12:00:00 AM","JARDIN I","URBANA","ALMACENES","26","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"17","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 03:25:00 PM","LA PAZ CENTRO","URBANA","ALMACENES","50","FEMENINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"18","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 03:25:00 PM","LA PAZ CENTRO","URBANA","ALMACENES","55","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO ENTIDADES COMERCIALES",1
"19","01/05/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","12/31/1899 05:48:00 PM","AEROPUERTO MATECAÑA","URBANA","AEROPUERTO","24","MASCULINO","SOLTERO","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES",1
"20","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","12/31/1899 04:20:00 PM","SANTA TERESITA","URBANA","VIAS PUBLICAS","32","MASCULINO","UNION LIBRE","EMPLEADO PARTICULAR","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
"21","01/06/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","12/31/1899 04:20:00 PM","SANTA TERESITA","URBANA","VIAS PUBLICAS","32","FEMENINO","UNION LIBRE","AMA DE CASA","-","-",66001000,"ARTÍCULO 239. HURTO PERSONAS",1
